Question,Option A,Option B,Option C,Option D,Correct Answer
"If a car travels 360 miles in 6 hours, what is its average speed in miles per hour?",40 mph,50 mph,60 mph,70 mph,c
"A box contains 12 blue pens, 8 red pens, and 5 green pens. If a pen is randomly selected from the box, what is the probability that it is either blue or red?",5\12,8\25,10\25,20\25,d
"If the ratio of the lengths of two rectangles is 3:5 and the perimeter of the smaller rectangle is 24 cm, what is the perimeter of the larger rectangle?",35 cm,40 cm,45 cm,50 cm,c
"If a number is increased by 20% and then decreased by 10%, what is the net percentage change?",8%,10%,12%,14%,a
A train travels from City A to City B at an average speed of 60 km/h and returns to City A at an average speed of 75 km/h. What is the average speed for the entire round trip?,65 km/h,67.5 km/h,70 km/h,72.5 km/h,b
"If the area of a square is 64 square meters, what is the length of its diagonal?",8 meters,10 meters,12 meters,16 meters,c
"A father is three times as old as his son. Five years ago, the sum of their ages was 48. What is the father's current age?",35 years,40 years,45 years,50 years,b
"If x + 2y = 10 and x - y = 4, what is the value of x?",2,3,4,5,c
A retailer bought 80 shirts at $12 each and sold them at $15 each. What is the percentage profit earned?,20%,25%,30%,35%,b
"If 3 workers can complete a task in 8 days, how many days will it take for 6 workers to complete the same task?",4 days,6 days,8 days,12 days,a
"If a bicycle wheel has a diameter of 70 centimeters, what is its circumference?",110 cm,140 cm,154 cm,220 cm,c
"In a class of 30 students, 18 play football, 12 play cricket, and 8 play both. How many students do not play either football or cricket?",2,4,6,8,b
"A boat travels downstream 20 miles in 2 hours. If the speed of the current is 5 mph, what is the speed of the boat in still water?",10 mph,12 mph,15 mph,20 mph,c
"If 3x−7=5, what is the value of x?",4,6,7,8,b
"A rectangle has a length twice its width. If the perimeter of the rectangle is 24 meters, what is its area?",16 sq meters,24 sq meters,32 sq meters,48 sq meters,a
"If 3/5 of a number is 36, what is 40% of that number?",24,32,54,60,b
"A shopkeeper sells a shirt for $45, which is 20% more than the cost price. What is the cost price of the shirt?",$35 ,$36 ,$37.50 ,$38 ,c
"If 4/7 of a number is 28, what is 5/7of that number?",30,35,40,45,b
"A train covers a distance of 480 km at a uniform speed. If the speed had been 10 km/h more, it would have taken 2 hours less for the same journey. What is the speed of the train?",40 km/h,50 km/h,60 km/h,70 km/h,b
"If 2^x+1=32, what is the value of x?",3,4,5,6,a
What is the relationship between a niece and her uncle's sister?,Mother,Aunt,Cousin,Sister,b
"If John's father is Mike, what is the relationship between Mike and John?",Father and son,Brothers,Uncle and nephew,Grandfather and grandson,a
"If Maria's husband is Peter's brother, what is Maria's relationship to Peter?",Sister,Sister-in-law,Cousin,Aunt,b
"If Jane's daughter is Sarah's niece, what is Jane's relationship to Sarah?",Mother,Aunt,Sister,Cousin,b
"If Alex's mother is Alice, what is the relationship between Alice and Alex?",Mother and son,Sisters,Aunt and nephew ,Grandmother and grandson,a
"If David's wife is Mary, what is Mary's relationship to David's brother?",Sister-in-law,Mother,Cousin,Aunt,a
"If Tom's grandmother is Lucy, what is Lucy's relationship to Tom?",Mother,Aunt,Grandmother,Sister,c
"If Sarah's father is Mark, what is the relationship between Mark and Sarah?",Father and daughter,Brother and sister,Uncle and niece,Grandfather and granddaughter,a
"If Laura's son is Jack's father, what is Laura's relationship to Jack?",Mother,Grandmother,Aunt,Sister,a
"If Paul's wife is Lisa, what is Lisa's relationship to Paul's mother?",Daughter,Daughter-in-law,Sister-in-law,Niece,b
What is the square root of 144?,10,12,14,16,b
What is the square root of 225?,12,15,20,25,b
Simplify:   the square root of  81,7,8,9,10,c
What is the square root of 64?,6,7,8,9,c
What is the square root of  100?,8,9,10,11,c
What is the square root of 400?,16,18,20,22,c
What is the square root of 169?,12,13,14,15,b
What is the square root of 256?,14,16,18,20,b
What is the square root of 36?,4,5,6,7,c
What is the square root of 625?,20,25,30,35,b
Find the cube root of 3375.,15,25,45,55,b
Calculate the cube root of 5832.,18,24,36,42,a
Determine the cube root of 9261.,21,27,31,37,b
Find the cube root of 10648.,18,22,28,34,b
Calculate the cube root of 13824.,24,36,48,54,a
Determine the cube root of 19683.,23,33,43,53,b
Find the cube root of 32768.,28,38,48,58,a
Calculate the cube root of 46656.,16,36,54,64,b
Determine the cube root of 64000.,20,40,60,80,a
Find the cube root of 97336.,26,46,66,26,a
